domain,sentence
restaurants,I like Cafe Noir dont get me wrong  it is jsut that the people who work there are evil and incompetent !!
restaurants,The hanger steak was like rubber and the tuna was flavorless not to mention it tasted like it had just been thawed .
restaurants,Our son loves pizza and we have a certified Neapolitan pizzaria in our home city -LRB- Seattle -RRB-  we liked this nearly as much - and the differences were more about personal preference than any reflection on either restaurant .
restaurants,big and soft as well as good lunch food .
restaurants,No food snobs allowed  this place is for people who appreciate good food .
restaurants,I liked the food at this quasi-thai restaurant .
restaurants,By far the best salad I have had in a fast food restaurant .
restaurants,As for the bar  this is another bad idea .
restaurants,"Their bagels are fine  but they are a little overcooked  and not really a ` special """" bagel experience ."
restaurants,Unlike HH up the block  this place actually gives you hearty and hot bagels this town is known for .
restaurants,The barebecued salmon is elegantly spiced and not at all dry .
restaurants,Same owner as the guy who owns Typhoon  which is just down the street on St. Marks and 1st Ave.
restaurants,What generous portions !
restaurants,The workers there also absolutely load the bagel with cream cheese -LRB- gets a little messy -RRB- .
restaurants,The wine the service was very good too .
restaurants,So  the menu is written in chalk above your head and it all sounds delicious .
restaurants,The highly spiced chai tea was great too .
restaurants,I have been there many times  and food is good and consistent .
restaurants,"Seriously  this is the best all you can eat in town - As everyone says  the Spicy Tuna hand rolls are the best - have 4 of these  and you ""ve"" broken even ."
restaurants,While Sapphire is certainly not lacking in ambiance  and probably has the best decor of any Indian restaurant I have been to in New York City  the food was not what I had hoped for .
restaurants,I would highly recommend this place to anyone looking for a casual atmosphere that whisks you away to the left bank of the river Seine .
restaurants,The meat dishes were only so-so .
restaurants,His wife Tanya  the hostess  completes the comforting atmosphere by being delightfully warm and gracious .
restaurants,The menu consisted of standard brassiere food  better then places like Balthazar etc. .
restaurants,I have been a longtime fan of Holy Basil in the East Village  and while I do believe their food has slightly slipped in quality  I have been hesitant to be disloyal .
restaurants,But the best part about LS is the late night atmosphere  delightfully free of the BTs .
restaurants,We even had a visit from the Manager who wanted to make sure we were enjoying ourselves .
restaurants,The staff there is very attentive and down to earth .
restaurants,"You do ""nt"" go to Mizu for excellent service  you go for the large amounts of food  the amiable atmosphere  and the hole-in-the-wall feeling of the place ."
restaurants,"The service is always bad though  do ""nt"" expect much of anything from your server  and I would not recommend bringing a date here either ."
restaurants,Monday nights are a bargain at the $ 28 prix fix - this includes a three course meal plus * three * glasses of wine paired with each course .
restaurants,It took them 15 minutes to put water in our glasses .
restaurants,The service is descent even when this small place is packed .
restaurants,This is the best sushi in new york city - hands down .
restaurants,I have eaten a lot of pizza here .
restaurants,Great value for the quality ingredients .
restaurants,The Thali was small  thoroughly unremarkable  and $ 14.95 .
restaurants,The sushi is also great !
restaurants,"From the complimentary chef app of a delicate butternut squash ravioli in a delicious truffle sauce to an amazing buttery and tender langostine entree to a dessert that I ca ""nt"" remember because of the fabulous Cakebread Cabernet we were drinking -- the whole evening was amazing ."
restaurants,Truly the mark of an attentive waiter .
restaurants,The food here is rather good  but only if you like to wait for it .
restaurants,I got an excellent piece of cheesecake and we had several other nice pastries .
restaurants,"The staff is very kind and well trained  they ""re"" fast  they are always prompt to jump behind the bar and fix drinks  they know details of every item in the menu and make excelent recomendations ."
restaurants,The makhani was OK -- the korma was bland .
restaurants,The food is inventive but still keeps traditional indian flavoring .
restaurants,The decor in this place is very diner-ish and the kind of place you expect in the East Village - not romantic  just simple  small and sparse .
restaurants,This is a cute place and could be good but they need to get their act together .
restaurants,The lox is always fresh too .
restaurants,Service was very friendly .
restaurants,"So all I ""m"" trying to say is this restaurant is by far the best thai food restaurant I ""ve"" ever been to ."
restaurants,Food was OK - fish was cooked well .
restaurants,We actually left hungry and went across the street to Wo Hop at 15 Mott street for some good chinese food .
restaurants,The duck confit is always amazing and the foie gras terrine with figs was out of this world .
restaurants,The whole set up is truly unprofessional and I wish Cafe Noir would get some good staff  because despite the current one this is a great place .
restaurants,I have reservations about the all you can eat deal  however -- the choices are fairly limited and you can probably order more food than you can eat for less than $ 18 by just going off the menu .
restaurants,The staff offers impeccable service .
restaurants,We ended our great experience by having Gulab Jamun -LRB- dessert -RRB- recommended by the waiter .
restaurants,"This place does ""nt"" compare with Mamoun ""s"" in terms of price  freshness  value  and consisent quality  but that ""s"" just my opinion ."
restaurants,The place is sleek  modern and playfull and i will return again frequently .
restaurants,I have known about this secret for the last 13 years  Emilio -LRB- the Godfather -RRB- has continued to serve food and wine for the gods at mortal prices .
restaurants,The brioche and lollies as party favors is a cute and sweet touch to a most memorable meal .
restaurants,After being told that our party of three would be seated in 10 minutes and watching other parties -LRB- multiples of 2 and higher -RRB- seated for 40 minutes  the three of us were squished into a small 2-person table .
restaurants,And the bill was outragous .
restaurants,The service was attentive  yet unimposing  the food was far better than many notorious restaurants in Midtown and the wine list is extensive and well priced .
restaurants,Kind  attentive wait staff .
restaurants,Salads were fantastic .
restaurants,The owners and employees are friendly and their pizza is fantastic .
restaurants,The food is yummy  especially their cooked-to-perfection mussels in spicy tomato sauce and their shoestring crispy fries .
restaurants,The food is authentic Italian - delicious !
restaurants,skip dessert .
restaurants,I complete the total bagel experience by having it lightly toasted .
restaurants,It was like the servers forgot that they actually worked there and instead wanted to hang out and be cool .
restaurants,The service is good and ambience is good for a date or group outing .
restaurants,A great way to make some money is to buy a case of snapple from Costco and sell it right outside for only $ 2.50 .
restaurants,"It ""s"" all about the food !!"
restaurants,Fast service .
restaurants,The staff is excellent  specjal : that girl behind the bar  european chic .
restaurants,stick with the chicken  beef  and lamb dishes .
restaurants,The service was bad  the food took to forever to come  we sat on the upper level .
restaurants,We a menu that rearely changes  e xcept for one or two specials  the quality and care they put in thier food in evident .
restaurants,This restaurant is a wonderful place to go many times and it is reasonably priced .
restaurants,Bottom line : B + for the food  F for the service .
restaurants,"The only thing the waiters do ""nt"" do for you is wipe your chin when you leave ."
restaurants,Stick to dimsum  not super overpriced noodles .
restaurants,The service is fine and they allow you to enjoy the view .
restaurants,We  there were four of us  arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude .
restaurants,delicious simple food in nice outdoor atmosphere .
restaurants,The only fallback on this restaurant is the prices .
restaurants,"I ""ve"" been to Naples 45 for dinner twice ."
restaurants,The hot and sour soup was unbearably hot and tasted of only pepper and nothing else .
restaurants,Try sushimi cucumber roll .
restaurants,The food is delicious .
restaurants,Their wines by the glass are a great accompaniment and you can eat like a king with wine for under $ 30 .
restaurants,This place has the the correct ambience and an excellent staff to make you feel like a guest and a friend at the same time .
restaurants,Yeah Shanghai is also great but not quite as good -- they use the same amount of salt but without sweetness to balance out .
restaurants,"believe us  we ""ve"" been eating sushi for over 15 yrs ."
restaurants,The atmosphere is much better than Sripraphai -LRB- more modern and sleek -RRB- .
restaurants,The food is outstanding and the service is quick  friendly and very professional .
restaurants,The bagels always warm  soft on the inside  crispy on the outside and enormous in size .
restaurants,I had a late dinner at Lucky Stike  a great name for a joint if ever I saw one .
restaurants,Service is fast and friendly .
restaurants,from an English speaking staff .
restaurants,And they have these home made potato chips at the bar that are the most delicious things in the world !
restaurants,My husband and I enjoyed each of the 6 taste size portions and left completely full .
restaurants,"I went here with a friend on a whim  we went someplace else first and could ""nt"" get a table ."
restaurants,"We all ate pasta ""entrees""  which were great ."
restaurants,The steak was excellent and one of the best I have had -LRB- I tasted the butter intitally but in no way did it overwhelm the flavor of the meat -RRB- .
restaurants,The food was boring and expensive .
restaurants,The ambience is pretty and nice for conversation  so a casual lunch here would probably be best .
restaurants,Terrific menu full of unique rolls and special dishes .
restaurants,The service is ok but could be better .
restaurants,We love the food  drinks  and atmosphere !
restaurants,I was here a few weeks back and we had the worst customer service experience at a restaurant ever .
restaurants,Went on a 3 day oyster binge  with Fish bringing up the closing  and I am so glad this was the place it O trip ended  because it was so great !
restaurants,"Took my mom for Mother ""s"" Day  and the maitre ""d"" was pretty rude ."
restaurants,My husband and I have been there a couple of times and each time we sat at the sushi bar -LRB- chef Yoshi -RRB- and ordered everything ala carte .
restaurants,The vibe is very relaxed and cozy  service was great and the food was excellent !
restaurants,If the weather is nice  try to snag an outside table .
restaurants,If you are looking for a good quality  cheap eats - this is the place .
restaurants,The service was friendly and the atmosphere was casual .
restaurants,When I lived upstate for a while I would buy freeze the bagels and they would still be better than any else .
restaurants,I recommend their Pad See Ew  Pork Chops or Tofu plates .
restaurants,Never in my life did I think that I could be satisfied both in taste and in quantity for $ 3.00 in NYC .
restaurants,"this is the best secret place in midtown """"  I heard that from the bartender  after having brilliant food -LRB- try steak with portobello mushrooms -RRB- and drinks on the bar last Tuesday ."
restaurants,The service was excellent - friendly and attentive .
restaurants,The main course had an average portion  and was decent overall .
restaurants,20 minutes for our reservation but it gave us time to have a few cocktails and enjoy our surroundings and each other .
restaurants,Waitstaff is great  very attentive .
restaurants,The dinner menu is diverse and top-notch as well .
restaurants,IT IS WHAT MODERN CUISINE IS ALL ABOUT .
restaurants,"I do ""nt"" like Indian food too much and this was delicious  however you want to factor that into the equation ."
restaurants,at taj  vegetarians can rejoice-all the dishes are manna from heaven .
restaurants,"I wo ""nt"" go back unless someone else is footing the bill ."
restaurants,"We live in New Jersey and whenever we go into New York City we buy bagels to eat hot and then to freeze -LRB- they told me that if I call in the order  they ""d"" bring it out to the car so I would ""nt"" have to look for parking -RRB- ."
restaurants,"Jimmy ""s"" is hands down the hottest night spot in the Bronx ."
restaurants,"And I would have to agree with the masses in terms of service - delivery is their Achilles """" heel ."
restaurants,The $ 300 bill was a bit steep  but the experience was great .
restaurants,Nice ambiance  nice little bar  good bartender  Francois  and good service .
restaurants,The calamari comes with an incredible sauce  and the duck noodles are yummy as well .
restaurants,I would definitely go back -- if only for some of those exotic martinis on the blackboard .
restaurants,Simple comfort food and what hot and lage portions .
restaurants,Stay away from the two specialty rolls on the menu  though - too much avocado and rice will fill you up right quick .
restaurants,"We did ""nt"" get drink refills and she did ""nt"" even offer us the option of dessert ."
restaurants,The bagels are also reasonably priced for NYC .
restaurants,"If you can handle that  it ""s"" a great place for a business dinner  fun with friends or simply a table for 2 ."
restaurants,Decor leaves something to be desired .
restaurants,"Also  specify if you like your food spicy - its rather bland if you do ""nt"" ."
restaurants,Our waiter was fine  the place looks nice in that not-trying-too-hard way  but at those prices  a little more should be expected of your food .
restaurants,"Coming from Boston this place is like Emma ""s"" Pizza in Kendall Square in Cambridge -LRB- although they have more funky toppings ! -RRB-"
restaurants,"When my husband and go there  we spend $ 60.00 -LRB- have LOBSTER TAILS UMMMMM need I say more -RRB- I ca ""nt"" say any more  it a place you ""ll"" never forget If you never go  you ""ll"" miss A Meal of your life time"
restaurants,in an effort to increase turnover  the restaurant offers no desserts beyond the complimentary espresso cup filled with chocolate mousse .
restaurants,"I ""ve"" been to this restaurant more than a dozen times and when I ""m"" craving for Pho  Lemon grass chicken or Beef Cube on rice  this is the place to go ."
restaurants,Oh yes  and if you are a fan of Indian oldies film stars  there are plenty of portraits of Indian actors and actresses in classic black white that adorn the walls  some of which  I would love to know where they obtained .
restaurants,"The food is spectacular  from the appitizers to the main course  and then of course the desserts  -LRB- WOW -RRB- you ""ll"" need no more ."
restaurants,My fish was delicious in an incredible curry sauce .
restaurants,"If you are in search of the most authentic NYC deli experience look no further than the famous and historic Katz ""s"" Deli down on the Lower East Side ."
restaurants,Even upon delivery  their juicy pork buns are quite good . .
restaurants,Average to good Thai food  but terrible delivery .
restaurants,The space is nice but when we order our drink we were in for a surprise .
restaurants,The entire place and the treatment we received felt as a conveyor belt .
restaurants,"Joe ""s"" Pizza used to have the best slice until this pizzeria opened up ."
restaurants,And they provided a delicious dessert on the house !
restaurants,They are still living in the dark ages and do not have an answering machine  so if you want to make a reservation you are limited .
restaurants,The food is amazing  rich pastas and fresh doughy pizza .
restaurants,Food was very good  but not what I would consider out of this world .
restaurants,I had Lobster Bisque it has 2 oz . of Maine Lobster in it .
restaurants,"Try the Pad Thai  it ""s"" fabulous and their prices are so cheap !"
restaurants,Food is great and inexpensive .
restaurants,The price very reasonable .
restaurants,"Dessert - ca ""nt"" be missed  so save room !!!"
restaurants,It can be a little confusing as to where one goes to order  but once the food is ordered  you are in for a treat .
restaurants,Ingredients are organic which is a real plus for me .
restaurants,It was so bad I actually refused to pay for my food .
restaurants,I recommend this spot to anyone who enjoys fine cuisine at reasonable prices .
restaurants,The staff was very attentive  the ambience lovely  and the food superb .
restaurants,I love when restaurants think using fancy expensive ingrediants makes the food fine cuisine  even with no idea how to use them .
restaurants,THe Pizza and wine were excellent-the service too -- but what really MADE this place was the backyard dining area .
restaurants,The waiters are sweet  the food is tasty and the bill is never too large .
restaurants,The service was superb  they treat you like family .
restaurants,We all had the tasting menu and unlike some of the other reviews  I felt there was more than enough food .
restaurants,"It only took about five or so minutes to get an empty table  but standing up was ""nt"" too bad ."
restaurants,The menu may be small  but everything on it is delicious .
restaurants,They had scrapped the bottom of the vessel in which they make the rice - RESULT - WE HAD LARGE CHUNKS OF BURNT RICE IN OUR SERVING BOWL .
restaurants,Warm  comfortable surroundings  nice appointments -LRB- witness the etched glass and brickwork separating the dining rooms -RRB- .
restaurants,"We ran a little late for the reservation but it was ""nt"" a problem to get our table immediately ."
restaurants,We arrived on time for our reservation and seated promptly.The
restaurants,I would definitely go back for a very special occasion  but not for regular fine dining .
restaurants,The well mannered  pleasant staff that Tony has in his employ .
restaurants,The flavors robust and subtle .
restaurants,"All I can say is $ 2 pints during happy hour and the some of the cheapest oysters you ""ll"" find in the city  though the quality is some of the best ."
restaurants,I would never wait for a table to eat  it just is not THAT great .
restaurants,We concluded with tiramisu chocolate cake  both were delicious .
restaurants,The counter service is bad .
restaurants,Service here was great  food was fantastic .
restaurants,This is such a lovely  peaceful place to eat outside .
restaurants,The sauce is delicious and the crust is perfect .
restaurants,Since my first dinner I have had the chance to have brunch at Orsay 3x .
restaurants,You will pay a lot for the decore  but the food is no better or worse than a lot of other Chinese and Asian fusion places in NY .
restaurants,They have some great entrees here as well .
restaurants,The service is not consistently excellent -- just decent .
restaurants,The food  served in small tasting portions -LRB- as an option -RRB- is very good with each dish being better than the next .
restaurants,They do cater to American palates  but if you like it hot let them know and they are more than willing to oblige !
restaurants,"I had the mango chicken and i ca ""nt"" go on to tell you how delicious that was and the presentation was beatiful ."
restaurants,I care more about the food and ambience .
restaurants,Oh  but wait  we were out of drinks -LRB- which were also delightfully overpriced -RRB- .
restaurants,The service is fantastic .
restaurants,The garlic mashed potatoes are hands down the best in the city !
restaurants,Food and service was okay .
restaurants,The lamb meat was under-cooked and EXTRMELY CHEWY .
restaurants,"The best pad thai i ""ve"" ever had ."
restaurants,Over time  the food quality has decreased substantially  it is a lot less crowded than it used to  and the service must definitely be part of the reason .
restaurants,Great pizza and fantastic service .
restaurants,We were seated outside and the waiter spilled red wine and hot tea on myself and my date .
restaurants,i would just ask for no oil next time .
restaurants,While this is a pretty place in that overly cute French way  the food was insultingly horrible .
restaurants,I went there for lunch and it was not as good as I expected from the reviews I read .
restaurants,"The wine list is ""nt"" great  and the desserts are shipped in from Bruno ""s"" down the street  which is not as good as it used to be ."
restaurants,I ordered a Lassi and asked 4 times for it but never got it .
restaurants,Their coffee is quite good too !
restaurants,great wine list -LRB- italian -RRB-  good food  service was INITIALLY fine .
restaurants,"Despite the fact that the space is large  they ""ve"" overcrowded the floor with tables ."
restaurants,They are not helpful in the least and will give you the grand run around so by the time the event date rolls around you will not only regret chosing this place  but also become hostile !
restaurants,I had to ask her three times before she finally came back with the dish Ive requested .
restaurants,Normally that would be improper  however they were all delicious and my host did not complain .
restaurants,Taxan delicious !
restaurants,Unlike other places in NYC where the sandwiches you want only come as a triple-decker  here you can get what you want in a reasonably-sized portion -LRB- and price -RRB- .
restaurants,Southern Indian cuisine is still there  too .
restaurants,Restaurant snobs need not bother  this is a small  neighborhood kind of place .
restaurants,"They could ""nt"" even make a salad that was appealing ."
restaurants,For two people with tip was less than $ 25 bucks .
restaurants,Killer Sushi !
restaurants,Of course the reason its so packed is because the food is so delicious !
restaurants,Staffs are not that friendly  but the taste covers all .
restaurants,The jukebox plays everything from Italian Opera to The Strokes .
restaurants,Plus they made a perfect martini .
restaurants,I am not sure if I would call the food here Indian as it is a fusion of what seems to be French with an Indian or exotic touch .
restaurants,"I ""ve"" eaten thai many times  and am very familiar with the cuisine ."
restaurants,The waiter was attentive .
restaurants,"Their Margarita is best I ""ve"" had since I ""ve"" returned from Naples !"
restaurants,The tastes makes your mouth water for more .
restaurants,"Their sake list was extensive  but we were looking for Purple Haze  which was ""nt"" listed but made for us upon request !"
restaurants,The tables are crammed way too close  the menu is typical of any Italian restaurant  and the wine list is simply overpriced .
restaurants,The food was actually aweful .
restaurants,They are served with a free appetizer and the portions are perfect for lunch .
restaurants,There is actually space to breathe and the decor sets the tone for an intimate dinner .
restaurants,We went around 9:30 on a Friday and it had died down a bit by then so the service was great !
restaurants,My husband and I both ordered the Steak  medium .
restaurants,Furthermore  the rice had no seasoning  so the sushi was bland and disgusting .
restaurants,This place has realy fresh sushi and a nice large menu of Japanese classic cuisine .
restaurants,The sushi is average and the prices are anything but .
restaurants,My wife and I also enjoyed the spinach  the Shanghai low mein  and other attractions .
restaurants,Owner must have coem on this website to give himself credit .
restaurants,Turned out there was full service upstairs and sat down .
restaurants,Several of the dim sum orders had about 6-8 pieces .
restaurants,If you have a dumpling fetish i suggest you try some here !
restaurants,Three page wine menu  one page entree and horedevous .
restaurants,"The food is consistently wonderful - I ""ve"" been coming here for years  and the owner has always been accomodating and friendly ."
restaurants,"The waiters and owners were nonchalant about this and promised to call the exterminator but were ""nt"" as dismayed or apologetic as I would have expected ."
restaurants,And the food was fantastic .
restaurants,"If you ""re"" looking for a place to sit down  have a drink and conversations with friends  go to sweet-n-tart and order yourself a hong-kong styled milk and tea with tapioca pearls -LRB- hot -RRB- ."
restaurants,Aside from the Sea Urchin  the chef recommended an assortment of fish including Fatty Yellow Tail  Boton Shrimp  Blue Fin Torro -LRB- Fatty Tuna -RRB-  Sea Eel  etc. .
restaurants,"They ""re"" also friendlier here  especially the owner  Kenny ."
restaurants,"While the room is not particularly comfortable  once you ""re"" seated you ""ll"" forget about everything except what ""s"" on your plate ."
restaurants,"I ""ve"" lived in NYC all my life and had never before seen so many waterbugs in one place -LRB- except in a really bad dream -RRB- ."
restaurants,Winnie and her staff are the best crew you can find serving you .
restaurants,The ambiance is minimal the food is not phenomenal  but some dishes are quite good  such as the eggplant parmesan  veal in carozza chicken saltimbocca .
restaurants,My host asked for appetizers for the group and the waiter gave us not only what we ordered  but some other items that were not ordered .
restaurants,You can even get packages of the chutneys to stock your fridge !
restaurants,"The bar has various selections and the mixed drink special is a catcher ! 2 for 1 ""s"" ."
restaurants,"If it is ""nt"" for the food -LRB- A + + + -RRB-  it must be the service or the ambience ."
restaurants,During the course of the past 3 months  the chef and staff changed and it was not for the better .
restaurants,"I like the ambience  it ""s"" very dark and original ."
restaurants,Overall  not worth the money .
restaurants,This place is not worth the prices .
restaurants,We left after one drink .
restaurants,Pick a bagel has the best bagels in the city .
restaurants,Yes you have to wait to be seated and because its small there is no waiting area and the seat at the bar was all taken .
restaurants,The last two times I ordered from here my food was soo spicy that I could barely eat it  and the spice took away from the flavor of the dish .
restaurants,The fried dumplings are GREAT !
restaurants,This place has the best Chinese style BBQ ribs in the city .
restaurants,Ive been here so many times the waiters know my name .
restaurants,We figured we never had Argentinian Pizza before so we grabbed our lunch there  sharing a large Pelligrino  a pizza of two of their specials  one was goat cheese the other blue cheese  and both were excellent .
restaurants,"The """" kamasutra """" and ` bombay cosmopolitan """" are excellent and will have you tipsy in no time ."
restaurants,This is the perfect date spot for Williamsburg couples .
restaurants,The dim sum here is only so-so .
restaurants,$ 6 and there is much tasty food  all of it fresh and continually refilled .
restaurants,Just straight up cheap  good food .
restaurants,"Seating is ok even though sometimes there ""s"" alot of people ."
restaurants,Even with a relatively inexpensive botle of wine  if you can call $ 70.00 inexpensive  the cost is through the roof for better than average fare .
restaurants,Service was slow  but the people were friendly .
restaurants,The steak was very fatty and the sauce was overpowering and not very tasty .
restaurants,The staff makes you feel at home  the food is great and the atmosphere is WONDERFUL !
restaurants,The food is alright - some stuff is good - some is not -LRB- like the steak dish which tends to be dry -RRB- .
restaurants,They have a very diverse menu so its something for everybody .
restaurants,The staff was too busy ordering sushi for dinner and then laying it out to eat on the bar to even bring me my check .
restaurants,"As a long-time patron of Mamoun ""s""  I always figured that I had found the best late night food spot in the city ."
restaurants,The bagel was huge .
restaurants,Get the tuna of gari .
restaurants,I like the somosas  chai  and the chole  but the dhosas and dhal were kinda dissapointing .
restaurants,Edible but really a ripoff at those prices given whats in the area .
restaurants,The staff has been nice  but they seemed really stressed and the unisex bathroom needs to be cleaned more often .
restaurants,The service was the only thing good about this restaurant .
restaurants,Service - friendly and attentive .
restaurants,Great food  great decor  great service .
restaurants,And  atlhough tables opened up next to us and we ASKED for a slightly larger space  they left us awkardly seated .
restaurants,The palak paneer was standard  and I was not a fan of the malai kofta .
restaurants,"I ""ve"" dined at Alain Ducasse ""s"" restaurant in Monte Carlo for half the price for the same excellent dining experience ."
restaurants,Yeah  sometimes the service can be slow .
restaurants,There was no ambiance .
restaurants,"Save your money and do ""nt"" waste your calories  go to Margharita ""s"" on Washington Street instead  they have amazing food and the BEST service ."
restaurants,The service was attentive without being overbearing and each dish we tried was wonderful from the spring rolls to the cod with pineapple tempura .
restaurants,The only weird thing was if we got a bottle  the waitress would have simply multiplied the glass price X4  which makes no sense whatsoever .
restaurants,They sell special sushi  everything have a topping  sauce and etc. .
restaurants,"DO not try unless you ""re"" just going there to hang out like the rest of the hipsters who apparently have no sense of taste ."
restaurants,"The place is small and intimate and you may feel a little crowded  but the service is excellent and it ""s"" great for friends out  a romantic date  or a special occassion ."
restaurants,Service was also very good .
restaurants,I took my girlfriend there for her birthday last night and we had a relaxing  really good meal .
restaurants,I would not have been so disappointed with the portions if the qualities were good enough to make up for it  but they were not !
restaurants,"I ""m"" happy to have Nosh in the neighborhood and the food is very comforting ."
restaurants,Good atmosphere  combination of all the hottest music dress code is relatively strict except on Fridays .
restaurants,love the food .
restaurants,"I would highly recommend Nina ""s"" to anyone who wants to have a romantic dinner in a heart warming surrounding filled with candles and family pictures ."
restaurants,All the desserts the group tried got favorable reviews .
restaurants,"There ""s"" something smooth about sipping sake upper east side style ."
restaurants,"It ""s"" a nice place to relax and have conversation ."
restaurants,Best Reuben sandwich ever !
restaurants,Lucky Strike is a great casual place to just grab a bite to eat .
restaurants,Wonderful strawberry daiquiries as well !
restaurants,"Going to Volare is like going to your favorite aunt ""s"" house for dinner  assuming that your aunt is a great Italian cook ."
restaurants,The sushi has been from average to below average  the wait service has always been sub-par the atmosphere goes from nice to really irritating -LRB- if you sit in the area beyond the kitchen  the acousitcs are horrid  everything echoes is extremely loud -RRB- .
restaurants,Frites were delicious if a bit on the thick side .
restaurants,Here you get the zen feel without feeling rigid .
restaurants,I would recommend putting your name down and then getting a drink at a local bar first though because of the wait time .
restaurants,I fell in love with the egg noodles in the beef broth with shrimp dumplings and slices of BBQ roast pork .
restaurants,I keep my fingers crossed the whole subway ride hoping that there will be a table I can sit at by myself and not have to share with the rice congee soup people .
restaurants,Overall  the best bagel in town .
restaurants,Light  refreshing summer rolls -LRB- not fried -RRB- remind me of Vietnamese places in Paris .
restaurants,The sushi seemed pretty fresh and was adequately proportioned .
restaurants,but the service was a bit slow .
restaurants,Spreads and toppings are great - though a bit pricey .
restaurants,When I saw that their website had a link to da Ciro in Napoli  I knew there was going to be good pizza !
restaurants,No one asked what was wrong as we left with nothing touched on our plates .
restaurants,Indoor was very cozy and cute .
restaurants,We had a 3 hour brunch - they definitely do not rush you - and they kept the unlimited mimosas flowing the whole time .
restaurants,And their prices are very high - they actually think that they can get away with charging such prices for such terrible food and service !
restaurants,The service was excellent  the food was excellent  but the entire experience was very cool .
restaurants,The service is good and the resturant is clean .
restaurants,Great spot  whether looking for a couple of drinks or quiet dinner .
restaurants,Just stick with the small dishes !
restaurants,The cafe itself was really nice with comfortable outdoor chairs and tables  but the service could have been better .
restaurants,"I ""ve"" rarely had a problem with slow staff in the 10 years I ""ve"" been going ."
restaurants,Food is excellent .
restaurants,Although we were looking for regular lettuce and some walnuts the salads we got were great .
restaurants,Excellent lunch buffet for only $ 6.95 .
restaurants,"If you ""re"" not familiar with the cuisine  you may encounter problems ordering here and be sure to bring plenty of cash with you as they do ""nt"" accept credit cards ."
restaurants,both are very reasonably priced -LRB- around $ 8 for dinner and $ 5 for lunch -RRB-  and are delicious and filling .
restaurants,Ambience is so cute and quaint  good for business although we were there on vacation .
restaurants,The portion sizes here are huge  and the sushi is good .
restaurants,My boyfriend ate tuna and it was cooked perfectly !
restaurants,"This was ""nt"" the expected menu comprised only of pad thai and tom yum soup  but I thought that was what made the place so special ."
restaurants,Good food at the restaurant -LRB- a bit expensive  but great if you want to impress your date -RRB- .
restaurants,I highly recommend Caviar Russe to anyone who wants delicious top grade caviar and fantastic service .
restaurants,I have eaten there 3-4 times and the food was always good .
restaurants,"I was ""nt"" thrilled to have to wait on line for thirty minutes  but I guess that ""s"" the price you pay for a popular place ."
restaurants,great eats  good times .
restaurants,Grilled whole fish wonderful  great spicing .
restaurants,For years  I thought Tuscan cuisine was the best  but Salvatore converted me to the hearty Neapolitan fare on my first visit .
restaurants,Plus  when our entrees were held up in the kitchen on a busy Saturday night  the owner sent over complimentary summer rolls to hold us over !
restaurants,The service was great as well .
restaurants,Try the lobster teriyaki and the rose special roll .
restaurants,Another plus is most of the entrees are approx .
restaurants,The food was delicious  the atmosphere was relaxed  and we have now adopted Plate 347 as our Secret on Second !
restaurants,From the moment we walked in they were more than accomodating even though the place was packed .
restaurants,I found the food  service and value exceptional everytime I have been there .
restaurants,We ate at this Thai place following the reviews but very unhappy with the foods .
restaurants,The food is definitely good  but I left a bit disappointed .
restaurants,I am a 100 lb girl  had a glass of wine and a glass of beer prior to the dinner  and I was still HUNGRY after my visit to this place !
restaurants,The drinks are a saving grace  but service staff  please  get over yourselves .
restaurants,"There is a downside if you ""re"" ordering in -- the delivery guys have MAJOR attitude ."
restaurants,The all-Italian staff is warm and engaging from the start .
restaurants,The prices are exceptionally reasonable for food of this caliber .
restaurants,If you go here - your focus should be the Tamarind Margaritas .
restaurants,The filet mignon dish was superb !
restaurants,I had been a regular due to the consistently good food and ease of getting a table .
restaurants,This place is the most Japanese it can ever get .
restaurants,"The food is good  I ca ""nt"" lie ."
restaurants,"great food  lt ""s"" of it  more then one person can eat !"
restaurants,"I did ""nt"" expect to like Nosh as much as I did  but the pastrami on challah sandwich I had was otherworldly  the soups are like Mom ""s""  and the knishes give Yonah Schimmel ""s"" a run for its money ."
restaurants,The atmosphere is nothing special  but it feels like a Sushi establishment in Tokyo .
restaurants,Cozy romantic atomosphere with only around 15 tables at most .
restaurants,This place is worth going even if only for their beer .
restaurants,I really like both the scallops and the mahi mahi -LRB- on saffron risotto-yum ! -RRB- .
restaurants,I really like both the scallops and the mahi mahi (on saffron risotto - yum ! -RRB- .
restaurants,The ambience was so fun  and the prices were great  on top of the fact that the food was really tasty .
restaurants,Do not get the Go Go Hamburgers  no matter what the reviews say .
restaurants,The sandwhiches are out-of-this world !
restaurants,If you live in Upper Manhattan  Siam Square is THE place for Thia food .
restaurants,Decor is charming .
restaurants,The food was very well prepared .
restaurants,Really tasty spring rolls and noodles for a good price though .
restaurants,"Good  because hey  it ""s"" more food  but bad because dim sum is supposed to be smaller portions so you can try out more dishes and smaller so that each dish is cheap ."
restaurants,While most people can attest to spending over $ 50 on drinks in New York bars and hardly feeling a thing  the drinks here are plentiful and unique .
restaurants,Complimentary stuff kept coming  and when the waiter saw me opening a gift  I received my dessert on a plate that had Happy Birthday written on it  with a candlevery nice touch  and attentive staff .
