,domain,sentence,aspects
491,restaurants,Food was very good as well  considering that we tried the budget selection -LRB- though I wish the pork belly that I ordered was roasted a bit longer  so that fat was more of a melt-in-your-mouth experience -RRB- .,"['Food', 'we', 'the budget selection', 'I', 'the pork belly', 'that', 'I', 'that fat', 'your-mouth', '-RRB-']"
492,restaurants,"i ""ve"" been to sapphire twice and both times the food was fine  if not good .","['i', 'the food']"
493,restaurants,"It is kinda nosiy and the tables are close together but it ""s"" still a beautiful place to enjoy a nice dinner .","['It', 'the tables', 'it', 'still a beautiful place', 'a nice dinner']"
494,restaurants,I love the fact that the pizza tastes so good and is so cheap .,"['I', 'the fact', 'the pizza']"
495,restaurants,Nicky the Nose at the bar is a treat .,"['Nicky', 'the Nose', 'the bar', 'a treat']"
496,restaurants,Service was prompt  friendly and great .,['Service']
497,restaurants,"I have ""nt"" eat a lamb chop as delicious as that  the salads are really nice dressed with lemon and extra virgnin olive oil .","['I', 'a lamb chop', 'the salads', 'lemon', 'extra virgnin olive oil']"
498,restaurants,The sushi was awful !,['The sushi']
499,restaurants,You can get an excellent meal at most of the many Indian restaurants on nearby Lexington Avenue for the cost of one the dainty dishes here .,"['You', 'an excellent meal', 'the many Indian restaurants', 'nearby Lexington Avenue', 'the cost', 'the dainty dishes']"
500,restaurants,The Pastrami sandwich was like buttah and with pickles and an icy cold beer to wash it down  it was a pleasurable experience .,"['The Pastrami sandwich', 'buttah', 'pickles', 'an icy cold beer', 'it', 'it', 'a pleasurable experience']"
501,restaurants,The plain pizza was soggy and the creative wild mushroom -LRB- third generation-Fornini -RRB- pizza we had was drenched with truffle oil in the middle -LRB- again making it soggy -RRB- and nothingon the rest .,"['The plain pizza', 'the creative wild mushroom', 'third generation-Fornini -RRB- pizza', 'we', 'truffle oil', 'the middle -LRB-', 'it', '-RRB-', 'the rest']"
502,restaurants,Late nite omelletes are not good here  there is no variety !,"['Late nite omelletes', 'no variety']"
503,restaurants,After all that  they complained to me about the small tip .,"['all that', 'they', 'me', 'the small tip']"
504,restaurants,"It ""s"" a great place to pick up a cheap lunch or dinner .","['It', 'a great place', 'a cheap lunch', 'dinner']"
505,restaurants,Behind this counter  two men are squeezed in .,"['this counter', 'two men']"
506,restaurants,Whenever you need a Sushi fix  Mizu will be there with quality fish and great service .,"['you', 'a Sushi fix  Mizu', 'quality fish', 'great service']"
507,restaurants,Our waitress was sweet and accomodating  not overbearing .,['Our waitress']
508,restaurants,Went there with my wife and we had to wait for a table even though you could see there many that were empty with not reservation sigh on them .,"['my wife', 'we', 'a table', 'you', 'that', 'not reservation sigh', 'them']"
509,restaurants,I was really disappointed ant wanted to tell everyone not to go eat or even take out food from there .,"['I', 'really disappointed ant', 'everyone', 'food']"
510,restaurants,Despite a slightly limited menu  everything prepared is done to perfection  ultra fresh and a work of food art .,"['a slightly limited menu  everything', 'a work', 'food art']"
511,restaurants,The outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful .,"['The outdoor atmosphere', 'the sidewalk', 'the world', '6th avenue', 'a cool evening']"
512,restaurants,A large is $ 20  and toppings are about $ 3 each .,['toppings']
513,restaurants,brick oven gallery is My pick for best pizza restaurant anywhere .,"['brick oven gallery', 'My pick', 'best pizza restaurant']"
514,restaurants,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening .,"['that great service', 'great food', 'a reasonable price', 'you', 'yourself', 'the beginning', 'a great evening']"
515,restaurants,For many people  this may not seem like Aunthentic Thai food because most places in NYC arent quite authentic .,"['many people', 'this', 'Aunthentic Thai food', 'most places', 'NYC']"
516,restaurants,Growing up in NY  I have eaten my share of bagels .,"['NY', 'I', 'my share', 'bagels']"
517,restaurants,"Oh  do ""nt"" even let me start with how expensive the bills were !","['me', 'the bills']"
518,restaurants,The scallion pancakes and fried dumplings were nothing out of the ordinary .,"['The scallion pancakes', 'fried dumplings', 'nothing']"
519,restaurants,All the appetizers and salads were fabulous  the steak was mouth watering and the pasta was delicious !!!,"['All the appetizers', 'salads', 'the steak', 'mouth watering', 'the pasta']"
520,restaurants,"Besides having the table we had been promised given to other restaurant patrons twice before we were actually seated  we were served dishes we had ""nt"" ordered three times  received one of our orders 20 minutes after the rest of the table had been served -LRB- and that order was undercooked -RRB-  and charged $ 45 more than we should have been on our bill .","['the table', 'we', 'other restaurant patrons', 'we', 'we', 'dishes', 'we', 'our orders', 'the rest', 'the table', '-LRB-', 'that order', 'we', 'our bill']"
521,restaurants,Service is top notch .,"['Service', 'top notch']"
522,restaurants,The food now is inconsistent .,['The food']
523,restaurants,You can also special order any kind of dumpling  etc. .,"['You', 'any kind']"
524,restaurants,I was pretty much full after our fondue appetizer .,"['I', 'our fondue appetizer']"
525,restaurants,BE CAREFUL before you request extra spice .,"['you', 'extra spice']"
526,restaurants,The octopus eaters were floored by the Octopus salad .,"['The octopus eaters', 'the Octopus salad']"
527,restaurants,We thought that this place is using too much of MSG cooking in the foods .,"['We', 'this place', 'the foods']"
528,restaurants,And the Tom Kha soup was pathetic .,['the Tom Kha soup']
529,restaurants,I started out with a Bombay beer which was big enough for two .,"['I', 'a Bombay beer', 'which']"
530,restaurants,The decor is vibrant and eye-pleasing with several semi-private boths on the right side of the dining hall  which are great for a date .,"['The decor', 'several semi-private boths', 'the right side', 'the dining hall', 'which', 'a date']"
531,restaurants,Service was quick .,['Service']
532,restaurants,"Drawbacks : service is slow and they do ""nt"" toast !","['service', 'they', '"" toast']"
533,restaurants,Went there for an office lunch .,['an office lunch']
534,restaurants,The sweet lassi was excellent as was the lamb chettinad and the garlic naan but the rasamalai was forgettable .,"['The sweet lassi', 'the lamb chettinad', 'the garlic naan', 'the rasamalai']"
535,restaurants,"We ""ve"" been following chef Lyle ""s"" food around New York for 15 years and while remaining classic  his innovations with bistro fare have made us return and return .","['We', 'chef Lyle ""s"" food', 'New York', '15 years', 'classic  his innovations', 'bistro fare', 'us']"
536,restaurants,The best thing I tasted were the lambchops .,"['The best thing', 'I', 'the lambchops']"
537,restaurants,"The spicy tuna and salmon are the best we ""ve"" ever had .","['The spicy tuna', 'salmon', 'we']"
538,restaurants,Even though its good seafood  the prices are too high .,"['its good seafood', 'the prices']"
539,restaurants,In addition  the food is very good and the prices are reasonable .,"['addition', 'the food', 'the prices']"
540,restaurants,Upon entering  we were greeted by the owners  Steven and Frederick  who went out of their way to be more than gracious hosts .,"['we', 'the owners', 'Steven', 'Frederick', 'who', 'their way', 'gracious hosts']"
541,restaurants,Been going here since it opened have seen the quality value decrease considerably .,"['it', 'the quality value']"
542,restaurants,"Meat dishes now adorn the selections  although there ""s"" still a large number of vegetarian-friendly choices .","['Meat dishes', 'the selections', 'still a large number', 'vegetarian-friendly choices']"
543,restaurants,Reasonable prices .,['Reasonable prices']
544,restaurants,they bring service up a notch by offerng complementary amuse bouche to all tables and gave us a small dessert for our celebration .,"['they', 'service', 'a notch', 'offerng complementary amuse bouche', 'all tables', 'us', 'a small dessert', 'our celebration']"
545,restaurants,Try the crunchy tuna  it is to die for .,"['the crunchy tuna', 'it']"
546,restaurants,"It wo ""nt"" break the bank but I also wouldnt come back for the food .","['It', 'the bank', 'I', 'the food']"
547,restaurants,All in all  this midtown gem instantly became one of my favorite sushi restaurants in the city .,"['all  this midtown gem', 'my favorite sushi restaurants', 'the city']"
548,restaurants,It is a lot of fun with live entertainment and all kinds of Disney type special effects .,"['It', 'a lot', 'fun', 'live entertainment', 'all kinds', 'Disney', 'type special effects']"
549,restaurants,"if you ""re"" looking for perfect traditional sushi  go here - if you ""re"" looking for interesting combinations  try sushi of gari ""s"" -LRB- east side -RRB- .","['you', 'perfect traditional sushi', 'you', 'interesting combinations', 'sushi', 'gari ""s"" -LRB- east side']"
550,restaurants,No refills on fountain drinks  though .,"['No refills', 'fountain drinks']"
551,restaurants,Wow over 100 beers to choose from .,['Wow over 100 beers']
552,restaurants,"Be careful of portions - they ""re"" HUGE .","['portions', 'they ""re']"
553,restaurants,The Steak Tartare is a great bet  they fix it for you at the table .,"['The Steak Tartare', 'a great bet', 'they', 'it', 'you', 'the table']"
554,restaurants,My first time there I happened not to like the Crab Croquette apt that i ordered and they were happy to change it for me without making no big deal .,"['I', 'the Crab Croquette', 'i', 'they', 'it', 'me', 'no big deal']"
555,restaurants,Great for large groups and celebrations - our SUPER HAPPY waiter was the entertainment of the evening .,"['large groups', 'celebrations', 'our SUPER HAPPY waiter', 'the entertainment', 'the evening']"
556,restaurants,Did I mention the wine ?,"['I', 'the wine']"
557,restaurants,Plus  on Wednesday nights the house wine is unlimited !,"['Wednesday nights', 'the house wine']"
558,restaurants,like saying her bread comes from a special bakery when we have seen her buying it dowtown manhathan .,"['her bread', 'a special bakery', 'we', 'her', 'it', 'manhathan']"
559,restaurants,"The dim sum servings here are a bit larger than I ""m"" used to .","['The dim sum servings', 'I']"
560,restaurants,However  in the summer of 2003  it seems the management has changed and the great big door has been replaced for a glass front ridding itself of the dark romantic getup .,"['the summer', 'it', 'the management', 'the great big door', 'a glass front', 'itself', 'the dark romantic getup']"
561,restaurants,"We wo ""nt"" go to this place again for a good meal .","['We', 'this place', 'a good meal']"
562,restaurants,Barbecued codfish was gorgeously moist - as if poached - yet the fabulous texture was let down by curiously bland seasoning - a spice rub might have overwhelmed  however herb mix or other sauce would have done much to enhance .,"['Barbecued codfish', 'the fabulous texture', 'curiously bland seasoning', 'a spice rub', 'herb mix', 'other sauce']"
563,restaurants,"After dinner  take your date to the HUGE dance floor  probably one of the biggest you ""ll"" see in NY .","['dinner', 'your date', 'the HUGE dance floor', 'you', 'NY']"
564,restaurants,Taj Mahal offeres gret value and great food .,"['Taj Mahal', 'gret value', 'great food']"
565,restaurants,Has the chef and owner changed ???,"['the chef', 'owner']"
566,restaurants,My boyfriend and I recently had an early dinner at Artisanal and was satisfied with our experience .,"['I', 'an early dinner', 'Artisanal', 'our experience']"
567,restaurants,"But do ""nt"" ever order bacon late at nite -LRB- either platter or in sandwiches  for that matter do ""nt"" from any take out place -RRB- as it is from the morning frying turns out hard almost like bacos  hurt my molars .","['But do ""nt"" ever order', 'bacon', 'nite -LRB-', 'either platter', 'sandwiches', 'that matter', 'any take out place', '-RRB-', 'it', 'the morning frying', 'bacos', 'my molars']"
568,restaurants,Outstanding Bagels  but you get what you pay for .,"['Outstanding Bagels', 'you', 'what', 'you']"
569,restaurants,Pizza - the only pizza in NYC that should not have additional toppings - the crust tastes like the best  freshly baked bread !,"['Pizza - the only pizza', 'NYC', 'that', 'additional toppings', 'the crust', 'the best  freshly baked bread']"
570,restaurants,I found it on a cold night  the perfect spot to warm up .,"['I', 'it', 'a cold night', 'the perfect spot']"
571,restaurants,They even have a section in the menu called American Chinese food !,"['They', 'a section', 'the menu', 'American Chinese food']"
572,restaurants,Service was warm and attentive  beef carpaachio was exellent -LRB- huge portion -RRB- and pasta was fresh and well-prepared .,"['Service', 'warm and attentive  beef carpaachio', 'exellent -LRB- huge portion']"
573,restaurants,kalbi and nebbiolo do work together .,"['kalbi', 'nebbiolo']"
574,restaurants,Best Italian food I ever had -LRB- and being Italian  that means alot -RRB- .,"['Best Italian food', 'I', '-LRB-', 'that', 'alot', '-RRB-']"
575,restaurants,I will recommend Scopa to all of my friends for a place to go for wonderful Italian food .,"['I', 'Scopa', 'all', 'my friends', 'a place', 'wonderful Italian food']"
576,restaurants,Located at the end of a magnificent block .,"['the end', 'a magnificent block']"
577,restaurants,Looking around  I saw a room full of New Yorkers enjoying a real meal in a real restaurant  not a clubhouse of the fabulous trying to be seen .,"['I', 'a room', 'New Yorkers', 'a real meal', 'a real restaurant', 'not a clubhouse']"
578,restaurants,"They do ""nt"" walk around with the trays of Dim Sum .","['They', 'the trays', 'Dim Sum']"
579,restaurants,"Great bar  most gorgeous bartenders you ""ve"" ever seen -LRB- specifically the blond lady -RRB- .","['Great bar', 'most gorgeous bartenders', 'you', '-LRB-', 'specifically the blond lady', '-RRB-']"
580,restaurants,We were planning to get dessert but the waitress basically through the bill at us before we had a chance to order .,"['We', 'dessert', 'the waitress', 'the bill', 'us', 'we', 'a chance']"
581,restaurants,"I really loved the different and inovated touch that ""s"" the cheff gives to the food .","['I', 'touch', 'the cheff', 'the food']"
582,restaurants,They came out over cooked and the cheese was almost non existant .,"['They', 'the cheese']"
583,restaurants,"I had a terrific meal  and our server guided us toward a very nice wine in our price range  instead of allowing us to purchase a similarly priced wine that was ""nt"" as good .","['I', 'a terrific meal', 'our server', 'us', 'a very nice wine', 'our price range', 'us', 'a similarly priced wine', 'that']"
584,restaurants,The svc can be a bit rude at times  esp if you have big group  but overall the restaurant is a must !,"['The svc', 'times', 'you', 'big group', 'the restaurant', 'a must']"
585,restaurants,The food is good  especially their more basic dishes  and the drinks are delicious .,"['The food', 'especially their more basic dishes', 'the drinks']"
586,restaurants,But the main hit was the whole grilled fish .,"['the main hit', 'the whole grilled fish']"
587,restaurants,I had the tuna tartare with sake  mushroom ravioli with pinot noir  and the chocolate sampler with a dessert wine for $ 49 .,"['I', 'sake  mushroom ravioli', 'pinot noir', 'the chocolate sampler', 'a dessert wine']"
588,restaurants,On a hot day it was fabulous to stop in and enjoy lunch .,"['a hot day', 'it', 'lunch']"
589,restaurants,The food is delicious and beautifully prepared along with the friendly and personable service .,"['The food', 'the friendly and personable service']"
590,restaurants,"I usually go there later at night when I get off work so I do ""nt"" have to deal with crowds or lines .","['I', 'night', 'I', 'work', 'I', 'crowds', 'lines']"
591,restaurants,Pizza here is consistently good .,['Pizza']
592,restaurants,We had a great tiem watching the shows and characters and ar food was just what we were looking for .,"['We', 'a great tiem', 'the shows', 'characters', 'ar food', 'just what', 'we']"
593,restaurants,"After 2 tries by the waiter to take it away -LRB- we had ""nt"" even looked at it yet  we had full beers yet to drink -RRB-  the manager approached and told us they needed the table for people with reservations .","['the waiter', 'it', 'we', 'it', 'we', 'full beers', '-RRB-', 'the manager', 'us', 'they', 'the table', 'people', 'reservations']"
594,restaurants,"Would ""nt"" recomend it for dinner !","['it', 'dinner']"
595,restaurants,"Sauce was watery and the food did ""nt"" have much flavor .","['Sauce', 'the food', 'much flavor']"
596,restaurants,My husband and I enjoy Sangria .,"['My husband', 'I', 'Sangria']"
597,restaurants,"But after last night  Spice Grill is the only place I ""m"" eating indian cuisine .","['last night', 'Spice Grill', 'the only place', 'I', 'indian cuisine']"
598,restaurants,We both opted for a pasta dish and they were served timely and fresh .,"['We', 'both', 'a pasta dish', 'they']"
599,restaurants,First the wrong bread came out with the appetizer  then when i tried to order a second glass of wine for my main course ...,"['the wrong bread', 'the appetizer', 'i', 'a second glass', 'wine', 'my main course']"
600,restaurants,Not sure where the previous reviewer  lonk  dined  but Saul is in a great neighborhood and has great food !,"['the previous reviewer  lonk', 'Saul', 'a great neighborhood', 'great food']"
601,restaurants,In an area sadly lacking in decent Thai food  this is one of the best spots .,"['an area', 'decent Thai food', 'this', 'the best spots']"
602,restaurants,Tell them Herky sent you and get a free confused look from the waiter .,"['them', 'Herky', 'you', 'a free confused look', 'the waiter']"
603,restaurants,Make reservations but expect to be delayed 15-20 minutes as the hosting staff was having difficulty seating guests who arrived with a reservation because they probably had a lot of walk ins being so close to Time Square .,"['reservations', 'the hosting staff', 'difficulty', 'guests', 'who', 'a reservation', 'they', 'a lot', 'walk ins', 'Time Square']"
604,restaurants,The food was average or above including some surprising tasty dishes .,"['The food', 'some surprising tasty dishes']"
605,restaurants,"They do ""nt"" seem to place an emphasis on specials or fresh ingredients which to me is necessary for good thai .","['They', 'an emphasis', 'specials', 'fresh ingredients', 'which', 'me', 'good thai']"
606,restaurants,Other apetizers and food,"['Other apetizers', 'food']"
607,restaurants,The noodle and rices dishes taste great .,['The noodle and rices dishes']
608,restaurants,"The food ""s"" as good as ever .","['The food', '""s']"
609,restaurants,The crust is thin  the ingredients are fresh and the staff is friendly .,"['The crust', 'the ingredients', 'the staff']"
610,restaurants,Also a little more expensive than your average bagel place .,['your average bagel place']
611,restaurants,the food was undercooked-the sauce watery  and the vegetables raw .,"['the food', 'the sauce', 'the vegetables']"
612,restaurants,"And the fried clams had just enough kick to them to make ""em"" worth eating .","['the fried clams', 'just enough kick', 'them', 'em']"
613,restaurants,The sauces used are also not that exciting .,['The sauces']
614,restaurants,The secret is the lunch menu which offers a complimentary appetizer with every entree ordered .,"['The secret', 'the lunch menu', 'which', 'a complimentary appetizer']"
615,restaurants,The rice was poor quality and was cooked so badly it was hard .,"['The rice', 'poor quality', 'it']"
616,restaurants,We had champagne and caviar and felt like princesses !,"['We', 'champagne', 'princesses']"
617,restaurants,The shrimp scampi was excellent and the antipasti were plentiful .,"['The shrimp scampi', 'the antipasti']"
618,restaurants,When my dessert came  there was a candle in it - not because anyone asked for one - but because the waiter must have seen me opening my birthday card and gift  and said he knew it was a special occassion of some sort .,"['my dessert', 'a candle', 'it', 'anyone', 'the waiter', 'me', 'my birthday card', 'gift', 'he', 'it', 'a special occassion', 'some sort']"
619,restaurants,I got the $ 10 10-piece dim sum combo  every bite of which was great .,"['I', 'the $ 10 10-piece dim sum combo', 'every bite', 'which']"
620,restaurants,There is also very limited seating and there can be a substantial wait in getting food at peak times .,"['very limited seating', 'a substantial wait', 'food', 'peak times']"
621,restaurants,"If it ""s"" just a quick martini at the bar -LRB- which I recommend Jeffery ""s"" -RRB- or a mind blowing Roast Chicken  go to Village !","['it', 'just a quick martini', 'the bar', 'which', 'I', 'Jeffery ""s"" -RRB-', 'a mind', 'Roast Chicken', 'Village']"
622,restaurants,There was a long wait for a table outside  but it was a little too hot in the sun anyway so our insde table was very nice .,"['a long wait', 'a table', 'it', 'the sun', 'our insde table']"
623,restaurants,The prices are wonderfully low .,['The prices']
624,restaurants,If you like spicy food get the chicken vindaloo .,"['you', 'spicy food', 'the chicken vindaloo']"
625,restaurants,I have never been disappointed but their true strength lays in their amazingly delicious and cheap lunch specials .,"['I', 'their true strength', 'their amazingly delicious and cheap lunch specials']"
626,restaurants,So much more than the usual bar food  go there to enjoy the menu while sampling one of their hand-crafted beers .,"['the usual bar food', 'the menu', 'their hand-crafted beers']"
627,restaurants,No free drink .,['No free drink']
628,restaurants,This is my first time writing a review for a restaurant because the food and service was excellent .,"['This', 'my first time', 'a review', 'a restaurant', 'the food', 'service']"
629,restaurants,While they keep the capex to a minimum  they do put some cash into the bagels  because they among the best in the city .,"['they', 'the capex', 'a minimum', 'they', 'some cash', 'the bagels', 'the city']"
630,restaurants,The two star chefs left quite some time ago to open their own place .,"['The two star chefs', 'their own place']"
631,restaurants,"Do ""nt"" waste money on decor .","['""nt"" waste money', 'decor']"
632,restaurants,They also have a back garden open in the summer - cute and French with outdoor seating - what more could you ask for ?,"['They', 'a back garden', 'outdoor seating', 'what', 'you']"
633,restaurants,I have never before eaten 40 pieces of relatively good nigiri .,"['I', '40 pieces']"
634,restaurants,Given the incredible architecture surrounding it  this place has no character .,"['the incredible architecture', 'it', 'this place', 'no character']"
635,restaurants,"I ""d"" call it an ` italian dinner """" .","['I', 'it', 'an ` italian dinner']"
636,restaurants,While the place is not a hotspot hangout  the drinks are unique and pack a lot of bang for the buck .,"['the place', 'a hotspot hangout', 'the drinks', 'a lot', 'bang', 'the buck']"
637,restaurants,Have frequented ` ino for several years and the food remains excellent .,"['ino', 'several years', 'the food']"
638,restaurants,Their eggplant is so delicate  sweet tender !,"['Their eggplant', 'so delicate  sweet tender']"
639,restaurants,Each bite of food at Kai was indeed delicious  fresh  and elegant .,"['Each bite', 'food', 'Kai']"
640,restaurants,all the food was excellent - considering the quality of food in most moderately priced restaurants is mediocre this was slightly more pricey and well worth it .,"['all the food', 'the quality', 'food', 'most moderately priced restaurants', 'this']"
641,restaurants,My friend got the mushroom pizza which tasted better .,"['My friend', 'the mushroom pizza', 'which']"
642,restaurants,"I had the cod with paella -LRB- spicy and very filling  I ""m"" a big eater and could only eat half -RRB- while my boyfriend had the classic fish and chips -LRB- again  a big serving - at least 5 pieces of fish and a basketful of fries -RRB- .","['I', 'the cod', 'I', 'a big eater', '-RRB-', 'my boyfriend', 'the classic fish', 'chips', 'a big serving - at least 5 pieces', 'fish', 'a basketful', 'fries', '-RRB-']"
643,restaurants,"It ""s"" a shame that a nice  convenient place like the Pink Pony can be so ruined by lousy service .","['It', 'a shame', 'a nice  convenient place', 'the Pink Pony', 'lousy service']"
644,restaurants,You should pass on the calamari .,"['You', 'the calamari']"
645,restaurants,The porcini mushroom pasta special was tasteless  so was the seafood tagliatelle .,['the seafood tagliatelle']
646,restaurants,Try the spicy wontons and the salt pepper shrimps .,"['the spicy wontons', 'the salt pepper shrimps']"
647,restaurants,THE FOOD PORTIONS ARE REALLY LARGE .,"['THE FOOD PORTIONS', 'REALLY']"
648,restaurants,The fries are yummy .,['The fries']
649,restaurants,Friendly and informative staff  very attentive and prompt raw bar service .,"['Friendly and informative staff', 'very attentive and prompt raw bar service']"
650,restaurants,Best Taiwanese food in NY !,"['Best Taiwanese food', 'NY']"
651,restaurants,This place is a great stop for great food .,"['This place', 'a great stop', 'great food']"
652,restaurants,All the pastas are fantastic and the homemade lasagna is some of the best that I have had in the City .,"['All the pastas', 'the homemade lasagna', 'some', 'that', 'I', 'the City']"
653,restaurants,We laughed when he finally offered us a dessert menu and we left a 10 percent tip  which was generous  I feel .,"['We', 'he', 'us', 'a dessert menu', 'we', 'a 10 percent tip', 'which', 'I']"
654,restaurants,And the prices were way to high for what you get .,"['the prices', 'way', 'what', 'you']"
655,restaurants,The staff ignored my friends and I the entire time we were there .,"['The staff', 'my friends', 'I', 'we']"
656,restaurants,Yet paired with such rude service  would never recommend for anyone interested in carrying any kind of conversation while there .,"['such rude service', 'anyone', 'any kind', 'conversation']"
657,restaurants,The in-house lady DJ on Saturday nights has outrageously good taste in music  and moreover  takes requests .,"['house', 'Saturday nights', 'outrageously good taste', 'music', 'requests']"
658,restaurants,"I need at least three rolls to be full  and that ""s"" at least $ 14.00 !","['I', 'at least three rolls']"
659,restaurants,Great wine list  reasonably priced . -- Sara,"['Great wine list', '-- Sara']"
660,restaurants,The hot dogs were cold in the middle and the buns were stale .,"['The hot dogs', 'the middle', 'the buns']"
661,restaurants,"While the food was excellent  it was ""nt"" cheap -LRB- though not extremely expensive either -RRB- .","['the food', 'it', '"" cheap -LRB-']"
662,restaurants,Beef noodle soup is good as well .,['Beef noodle soup']
663,restaurants,Delivery service is great too .,['Delivery service']
664,restaurants,"The food ""s"" dazzling flavors overwhelm the palate  truly embracing the beauty of authentic Thai cuisine .","['The food ""s"" dazzling flavors', 'the palate', 'the beauty', 'authentic Thai cuisine']"
665,restaurants,I recieved prompt service with a smile .,"['I', 'prompt service', 'a smile']"
666,restaurants,"They pray to their Food Gods to make them into a good pizza like VT ""s"" .","['They', 'their Food Gods', 'them', 'a good pizza', 'VT ""s']"
667,restaurants,The place was quiet and delightful .,['The place']
668,restaurants,The food is a diamond in rough -- the food is delicious and homemade with the perfect balance of herbs and tomatoes .,"['The food', 'a diamond', 'the food', 'the perfect balance', 'herbs', 'tomatoes']"
669,restaurants,"As much as I like the food there  I ca ""nt"" bring myself to go back .","['I', 'the food', 'I', 'myself']"
670,restaurants,It looked like shredded cheese partly done - still in strips .,"['It', 'shredded cheese', 'strips']"
671,restaurants,"The prices and ambience are especially great considering it ""s"" in the West Village .","['The prices', 'ambience', 'it', 'the West Village']"
672,restaurants,The soup is pretty good too .,['The soup']
673,restaurants,"It is so easy to get a reservation at a top place in NYC with a week ""s"" notice .","['It', 'a reservation', 'a top place', 'NYC', 'a week ""s"" notice']"
674,restaurants,I have never better enjoyed humble root vegetables or a mushroom consomme - and this chef accomplishes without fats .,"['I', 'humble root vegetables', 'a mushroom consomme', 'this chef', 'fats']"
675,restaurants,"If you go to Roth ""s"" try to be served by Mike  he is GREAT !!","['you', 'Mike  he', 'GREAT']"
676,restaurants,not the food  not the ambiance  not the service  I agree with the previous reviews you wait and wait  the wait staff are very rude and when you get in they are looking to get you right out .,"['the ambiance', 'not the service', 'I', 'the previous reviews', 'you', 'the wait staff', 'you', 'they', 'you']"
677,restaurants,I always get the Shabu-Shabu dinner and the beef is always fresh .,"['I', 'the Shabu-Shabu dinner', 'the beef']"
678,restaurants,"The pizza was delivered cold and the cheese was ""nt"" even fully melted !","['The pizza', 'the cheese']"
679,restaurants,We were very surprised by how good the food was on our first visit here on a Sunday night .,"['We', 'the food', 'our first visit', 'a Sunday night']"
680,restaurants,"Nha Trang  while being notorious for utter lack of comfort and decor  horribly slow wait staff and horribly quick meals  is one of the best vietnamese restaurants i ""ve"" ever been to . the pho is delicious and comes with very fresh vegtables .","['Nha Trang', 'utter lack', 'comfort', 'decor', 'horribly slow wait staff', 'horribly quick meals', 'the best vietnamese restaurants', 'i', 'the pho', 'very fresh vegtables']"
681,restaurants,On the other hand  if you are not fooled easily  you will find hundreds of restaurants that will give you service and ambiance that is on par with Alain Ducasse  and food that will outshine in presentaion  taste  choice  quality and quantity .,"['the other hand', 'you', 'you', 'hundreds', 'restaurants', 'that', 'you', 'service', 'ambiance', 'that', 'par', 'Alain Ducasse', 'food', 'that', 'presentaion  taste  choice  quality', 'quantity']"
682,restaurants,I live in the neighborhood and my friends meet me down here not only for the bar scene but also the promise of The Pizza Place at 3am .,"['I', 'the neighborhood', 'my friends', 'me', 'the bar scene', 'the promise', 'The Pizza Place', '3am']"
683,restaurants,If I could rate the people this place would be off the charts - unfortunately - the pizza  sorry - not the best in NYC .,"['I', 'the people', 'this place', 'the charts', 'the pizza', 'NYC']"
684,restaurants,The food is amazing !!!!,['The food']
685,restaurants,Having not been home in the last 2 years may skew this reviewer a bit  but the food was tasty and spicy sans the oil that comes floating along at similar venues .,"['the last 2 years', 'this reviewer', 'the food', 'the oil', 'that', 'similar venues']"
686,restaurants,The portions are now very small  the sauces are overly-ambitious usually inedible while the service is still good  the restaurant  due to its popularity  seems frantic .,"['The portions', 'the sauces', 'the service', 'the restaurant', 'its popularity']"
687,restaurants,For the price  you can not eat this well in Manhattan .,"['the price', 'you', 'Manhattan']"
688,restaurants,"The owner is very friendly and a great guy  go try his pizza  you ""ll"" like it !","['The owner', 'a great guy', 'his pizza', 'you', 'it']"
689,restaurants,The atmosphere is great !!!,['The atmosphere']
690,restaurants,"With so many good restaurants on the UWS  I do ""nt"" need overpriced food  absurdly arrogant wait-staff who do ""nt"" recognize they work at a glorified diner  clumsy service  and management that does ""nt"" care .","['so many good restaurants', 'the UWS', 'I', 'overpriced food', 'absurdly arrogant wait-staff', 'who', 'they', 'a glorified diner  clumsy service', 'management', 'that']"
691,restaurants,I tend to judge a sushi restaurant by its sea urchin  which was heavenly at sushi rose .,"['I', 'a sushi restaurant', 'its sea urchin', 'which', 'sushi']"
692,restaurants,The service is a little scatty at times but all is forgiven when the food arrives .,"['The service', 'a little scatty', 'times', 'all', 'the food']"
693,restaurants,The bruscetta is a bit soggy  but the salads were fresh  included a nice mix of greens -LRB- not iceberg -RRB- all dishes are served piping hot from the kitchen .,"['The bruscetta', 'the salads', 'a nice mix', 'greens', '-RRB-', 'all dishes', 'the kitchen']"
694,restaurants,"The atmosphere is ""nt"" the greatest  but I suppose that ""s"" how they keep the prices down .","['The atmosphere', 'I', 'they', 'the prices']"
695,restaurants,The pickles were great addition .,"['The pickles', 'great addition']"
696,restaurants,If your favorite Chinese food is General Tao chicken  then this is NOT your place .,"['your favorite Chinese food', 'General Tao chicken', 'this', 'your place']"
697,restaurants,You must try the shrimp appetizers .,"['You', 'the shrimp appetizers']"
698,restaurants,Not only is the cuisine the best around  the service has always been attentive and charming .,"['the cuisine', 'the service']"
699,restaurants,The production is a symphony  alot of fun to experience.The food sublime for the most part .,"['The production', 'a symphony  alot', 'fun', 'The food', 'the most part']"
